LOC	VEH_SER_NO	INSP_COMT	TS_LOAD	FOUND_INSP_TEAM	RESP_INSP_TEAM	RESP_INSP_OPRUNT
17	RVM670	Beros beu.	51:45.7	107		
17	RVM670	Borci bat ba bmi ba bid ba.	52:31.5	107		
17	DBW217	Benim beu ba ba bnisl but ba ba ba bproin bnunc bodio betiam.	53:32.8	607		
17	DBW217	Bduis bin bve bante blitora bper ba best bnec.	54:00.0	607		
17	DBW217	Beget beu ba ba ba ba bmorbi ba burna bvitae bsem bdiam bodio bmi ba ba bvelit bac bhac.	54:27.3	607		
17	RVM670	Bnibh bac baliquam ba bnon bsemper borci ba ba ba bhabitasse bsit bet bamet benim.	54:34.2	107		
17	RVM670	Barcu bid bin bcum bmattis bhac bmi borci bnostra ba bnibh.	55:21.2	107		
17	RVM670	Bamet bid.	56:27.8	107		
17	RVM670	Barcu bet ba blacinia bnon ba.	57:20.7	107		
17	RGU460	Bnunc bad bnunc bnam bat bhabitant ba ba.	04:54.1	607		
17	RGU460	Bnibh bin ba.	06:21.3	607		
17	FGB216	Bquis bat bquis blectus ba ba.	13:41.2	629		
17	WDX548	Bdiam beu.	14:26.0	629		
17	RGU460	Bamet bac bmi.	14:57.2	607		
17	NHR180	Bnisi bac ba bhac bimperdiet bpede bnulla beu.	15:52.5	515		
17	RHZ963	Benim bad but bvelit ba ba.	18:54.9	629		
17	RHZ963	Bpede beu ba bleo.	19:11.8	629		
17	IHY154	Burna bmi bve bnec bid bfeugiat bnascetur.	25:59.3	607		
17	IHY154	Benim bmi ba bmi.	26:16.9	607		
17	IHY154	Berat bac.	26:44.3	607		
17	IHY154	Belit bve ba bid.	27:06.0	607		
17	CYB497	Bquis bve.	33:47.2	107		
17	CYB497	Bante bet ba bsit bnunc bnisl ba ba bante ba.	34:19.0	107		
17	CYB497	Beget bid ba ba ba bin ba bsem bornare ba bhac ba ba blacinia.	34:58.9	107		
17	XFK804	Barcu but.	35:35.0	629		
17	CYB497	Barcu bac ba ba bmi but bsapien brhoncus ba.	35:55.9	107		
17	XFK804	Bnibh bmi bac.	36:03.7	629		
17	XFK804	Bnisi beu ba.	36:19.7	629		
17	CYB497	Berat bve beu berat beni ba ba bfames bsed bleo.	36:43.0	107		
17	XFK804	Bdiam bve beget ba ba but.	37:37.6	629		
17	XFK804	Bnisl bin bve bmorbi ba ba.	38:41.1	629		
17	XFK804	Bdiam bve ba bdiam bcum.	39:00.1	629		
17	VCB259	Burna bad ba bid ba beu bet bmi ba bhac ba ba bfacilisis bnon ba bmagna ba ba ba ba bin.	39:01.5	607		
17	XFK804	Benim bin ba bante brutrum ba bante.	39:21.9	629		
17	XFK804	Bnisl bet bsodales ba bornare blacus ba ba.	39:55.1	629		
17	XFK804	Bquam beu ba.	41:02.1	629		
17	XFK804	Benim bid ba ba bnisi ba but.	41:47.7	629		
17	TOR798	Beros bid bad bvel ba blacus but bnunc bnon bat bfusce ba bodio but ba.	45:47.1	607		
17	TOR798	Berat bmi ba bmetus btempor bneque ba.	45:59.0	607		
17	TOR798	Bnisl bin.	46:21.2	607		
17	TOR798	Bamet bin ba.	46:50.7	607		
17	TOR798	Barcu bmi bac.	47:14.4	607		
17	TOR798	Bdiam bin but bat beget ba ba but.	47:30.9	607		
17	TOR798	Bcras bat.	48:35.8	607		
17	XEG792	Bodio bet ba bmagna ba bmalesuada ba.	51:06.9	629		
17	XEG792	Bodio bmi ba bnibh bin beu bnulla ba burna ba.	51:34.9	629		
17	XEG792	Borci bin ba bmi ba bfringilla ba bnibh ba.	53:51.9	629	205	200
17	XEG792	Bquam bid.	54:20.1	629		
17	XEG792	Berat bve ba but ba bad bsit beu ba bet ba ba.	54:51.6	629		
17	JHY927	Benim bmi ba bmus bsodales bin.	54:51.6	629		
17	XEG792	Berat but bat.	55:08.2	629		
17	JHY927	Bdiam bet bcras bquis.	56:18.1	629		
17	JHY927	Bdiam but.	56:30.8	629		
17	JHY927	Bquis bid bat barcu bet ba bmontes.	56:57.9	629		
17	JHY927	Benim bmi but ba.	57:17.1	629		
17	JHY927	Benim bin barcu.	57:41.5	629		
17	XOG241	Bnisl bid beu ba ba bmagna bin.	59:56.6	107		
17	XOG241	Bnunc bid ba bnibh ba.	00:42.6	107		
17	NGC871	Bnisi bin bmi bpurus ba bdiam bfusce bat baptent bvel.	01:12.0	509		
17	XOG241	Bnunc bac ba bat.	01:14.2	107		
17	NGC871	Bodio bat.	01:31.3	509		
17	BTO107	Borci bet ba ba bat ba ba barcu bve ba.	01:38.6	629		
