TS_LOAD	ITEM_NO	SHORT_TYPE_CD	RESOLVED	VEH_SER_NO
22:24.4	DPON-17239-UZOH	T	TRUE	LMN504
56:21.3	UWET-47108-UWME	T	TRUE	YKL719
17:31.4	JEIA-69245-JRZK	E	TRUE	CNE620
07:44.1	JBVD-05396-EMGK	T	FALSE	TMU402
26:09.4	KGAH-24630-HVWS	B	TRUE	NTD012
13:58.6	DAMK-91025-HUNE	T	TRUE	HTV792
09:40.3	SZPK-27901-CSXW	T	TRUE	QTF497
26:10.4	KGAH-24630-HVWS	B	FALSE	QTF497
28:20.7	UJMC-70236-GKZI	E	TRUE	DUT829
06:10.1	XOGL-46912-QDAU	T	TRUE	MUJ483
31:03.6	TGNI-17930-CANI	T	TRUE	KNR831
07:40.5	BQPK-36857-WOLS	T	FALSE	YWI795
05:55.1	DIHN-39481-XOQS	B	FALSE	XGC043
16:58.6	ERLA-57149-MIRO	T	FALSE	BPM756
06:11.7	NQOP-05841-YTMU	T	TRUE	FHL296
29:49.7	WBQT-86291-BZYS	T	FALSE	HCS198
29:50.8	UQXD-15726-BIPT	T	FALSE	HCS198
07:20.6	BTHL-20158-RUVM	O	TRUE	HCS198
30:10.3	YMEA-30754-XQEI	O	TRUE	DJZ516
59:28.7	TGNI-17930-CANI	B	FALSE	EKR497
24:59.7	BTHL-20158-RUVM	E	FALSE	ZUV749
25:19.9	DPON-17239-UZOH	E	TRUE	EHB487
56:33.9	UWET-47108-UWME	B	FALSE	NSZ265
56:57.8	VPTF-78239-PNCI	T	TRUE	FNG604
53:55.8	SZPK-27901-CSXW	I	FALSE	TOR798
54:54.2	BTHL-20158-RUVM	E	TRUE	YNQ647
42:41.4	ERLA-57149-MIRO	O	FALSE	ALP937
42:57.6	YMEA-30754-XQEI	E	TRUE	VZU602
17:30.2	UWET-47108-UWME	T	FALSE	IHY154
18:06.0	DPON-17239-UZOH	E	TRUE	ZKY831
57:09.5	UWET-47108-UWME	B	FALSE	ZGT053
57:53.4	VPTF-78239-PNCI	E	TRUE	XPQ906
13:29.8	SZPK-27901-CSXW	B	FALSE	RPC461
13:49.6	ERZW-20817-YRLG	T	TRUE	GCY403
29:02.4	DPON-17239-UZOH	B	FALSE	WTB963
29:50.3	DIHN-39481-XOQS	E	TRUE	JDG753
56:20.3	VPTF-78239-PNCI	T	FALSE	BIM387
56:52.1	WBQT-86291-BZYS	I	TRUE	OBX267
19:28.2	UJMC-70236-GKZI	E	FALSE	OBX267
20:24.6	UJMC-70236-GKZI	E	TRUE	KIM819
04:38.0	ERZW-20817-YRLG	E	FALSE	RPC461
05:16.0	UWET-47108-UWME	I	TRUE	JTM078
56:01.8	DAMK-91025-HUNE	O	FALSE	GYI954
56:14.4	DIHN-39481-XOQS	E	TRUE	VSP254
06:38.3	UJMC-70236-GKZI	T	FALSE	KFN372
07:36.2	XOGL-46912-QDAU	I	TRUE	XLW275
16:45.3	DAMK-91025-HUNE	B	FALSE	UHP854
17:15.6	BQPK-36857-WOLS	E	TRUE	LJZ634
03:02.5	XOGL-46912-QDAU	E	FALSE	OQF675
03:14.4	BQPK-36857-WOLS	T	TRUE	PJL425
45:12.7	DAMK-91025-HUNE	B	FALSE	ARS065
45:17.9	WBQT-86291-BZYS	T	TRUE	OHI196
07:23.2	DAMK-91025-HUNE	T	FALSE	LIB341
07:37.5	UWET-47108-UWME	I	TRUE	FJY015
14:59.6	BQPK-36857-WOLS	T	FALSE	GCI108
15:27.8	UJMC-70236-GKZI	O	TRUE	LTV094
06:06.2	NQOP-05841-YTMU	T	FALSE	JIN079
06:56.8	SZPK-27901-CSXW	O	TRUE	HOX076
55:36.0	BTHL-20158-RUVM	I	FALSE	TPJ583
56:00.4	JBVD-05396-EMGK	O	TRUE	QVP853
08:16.7	ERLA-57149-MIRO	B	FALSE	HCR986
08:40.5	ERZW-20817-YRLG	O	TRUE	SDL978
44:05.4	DPON-17239-UZOH	E	FALSE	PGY640
44:17.1	UJMC-70236-GKZI	O	TRUE	CNE620
