TS_LOAD	SYS_DESC	VEH_SER_NO	OPR_NAME
11:54.8	Paint Inspection	TPD286	PAINT
36:09.0	STVMS Tracking Top Station	SLP187	Top Station
36:14.0	STVMS Tracking Top Station	SGN329	Top Station
40:50.3	Assembly Line Tracker	SGN329	Pool 60 Start
40:50.5	Assembly Line Tracker	SLP187	Pool 60 Start
36:20.2	Cab call scan	TGJ401	A Line
37:52.0	Cab Conveyer	TFU306	Cab Upload 2
37:52.0	Cab Conveyor / Monorail	TFU306	Cab Upload
40:00.2	OMT Offline Tracking	EMV512	Enter Offline
40:00.2	OMT Offline Tracking	EMV512	Sold
41:51.0	Paint Inspection	KQN543	PAINT
44:12.3	Cab Conveyer	LNY482	Cab Upload 2
44:12.3	Cab Conveyor / Monorail	LNY482	Cab Upload
45:42.0	U-BOLT	QVS392	Front U-Bolt
46:55.5	Cab Call Scan	ULN810	B Line
48:24.4	OMT Offline Tracking	SVK948	Enter Offline
51:41.0	U-BOLT	HMX073	Front U-Bolt
53:06.2	Hood Conveyor	CXD285	Hood Upload
53:14.2	Cab Conveyer	KWT597	Cab Upload 2
53:14.2	Cab Conveyor / Monorail	KWT597	Cab Upload
53:41.7	Paint Inspection	XGW598	PAINT
54:33.9	Paint Inspection	YDL247	PAINT
55:50.2	Assembly Line Tracker	EQK798	Pool 13 Start
56:00.5	Cab call scan	OIF375	A Line
56:39.1	Hood Conveyor	BEM390	Hood Upload
57:09.0	U-BOLT	WDM529	Front U-Bolt
57:34.0	STVMS Tracking Chassis Start	DFZ024	Chassis Start
59:37.8	OMT Offline Tracking	XKG621	Enter Offline
00:31.6	Cab Conveyer	UJB305	Cab Upload 2
00:31.6	Cab Conveyor / Monorail	UJB305	Cab Upload
00:50.5	Assembly Line Tracker	GDU671	Pool 13 Start
00:50.8	Assembly Line Tracker	TGS974	Pool 13 Start
01:27.3	OMT Offline Tracking	RTW145	Enter Offline
01:27.3	OMT Offline Tracking	RTW145	Sold
04:25.2	Cab Call Scan	FNG604	B Line
05:29.0	U-BOLT	XSF309	Front U-Bolt
05:50.2	Assembly Line Tracker	ELI075	Pool 13 Start
09:46.3	Hood Conveyor	CVE258	Hood Upload
10:05.2	Cab call scan	NVM832	A Line
10:06.0	STVMS Tracking Chassis Start	EQK798	Chassis Start
10:09.0	STVMS Tracking Chassis Start	TGS974	Chassis Start
10:11.0	STVMS Tracking Chassis Start	GDU671	Chassis Start
10:14.0	STVMS Tracking Chassis Start	ELI075	Chassis Start
11:14.8	Cab Conveyer	TGJ401	Cab Upload 2
11:14.8	Cab Conveyor / Monorail	TGJ401	Cab Upload
11:35.0	U-BOLT	GMS924	Front U-Bolt
13:03.4	OMT Offline Tracking	KIM819	Enter Offline
14:05.5	OMT Offline Tracking	UFV140	Enter Offline
15:03.3	Cab Conveyer	ULN810	Cab Upload 2
15:03.3	Cab Conveyor / Monorail	ULN810	Cab Upload
15:50.3	Assembly Line Tracker	PEK163	Pool 13 Start
17:28.2	Hood Conveyor	RCF947	Hood Upload
17:29.2	Cab Call Scan	YKZ247	B Line
17:34.0	U-BOLT	ITO673	Front U-Bolt
21:47.0	Cab Conveyer	OIF375	Cab Upload 2
21:47.0	Cab Conveyor / Monorail	OIF375	Cab Upload
22:17.1	OMT Offline Tracking	YTG326	Enter Offline
25:25.0	U-BOLT	QME682	Front U-Bolt
27:59.9	OMT Offline Tracking	RZW691	Enter Offline
28:26.9	Cab Call Scan	JLD084	B Line
33:15.4	Cab call scan	MBF976	A Line
33:36.0	Cab Conveyer	FNG604	Cab Upload 2
33:36.0	Cab Conveyor / Monorail	FNG604	Cab Upload
35:50.4	Assembly Line Tracker	BEM390	Pool 13 Start
35:50.8	Assembly Line Tracker	CXD285	Pool 13 Start
35:51.1	Assembly Line Tracker	SYB619	Pool 13 Start
37:19.2	Cab Call Scan	JDY852	B Line
40:28.9	OMT Offline Tracking	FUR610	Enter Offline
42:24.5	OMT Offline Tracking	GYV645	Enter Offline
42:39.2	Cab Conveyer	YKZ247	Cab Upload 2
42:39.2	Cab Conveyor / Monorail	YKZ247	Cab Upload
43:12.3	Cab call scan	EGK921	A Line
43:55.0	STVMS Tracking Chassis Start	PEK163	Chassis Start
44:03.0	STVMS Tracking Chassis Start	SYB619	Chassis Start
44:05.0	STVMS Tracking Chassis Start	CXD285	Chassis Start
44:08.0	STVMS Tracking Chassis Start	BEM390	Chassis Start
44:12.0	STVMS Tracking Chassis Start	CVE258	Chassis Start
45:25.5	Hood Conveyor	ALP937	Hood Upload
46:18.0	Cab Conveyer	NVM832	Cab Upload 2
46:18.0	Cab Conveyor / Monorail	NVM832	Cab Upload
47:05.0	U-BOLT	SLP187	Front U-Bolt
48:12.8	Hood Conveyor	CSD174	Hood Upload
50:50.4	Assembly Line Tracker	ETO603	Pool 13 Start
50:50.8	Assembly Line Tracker	CVE258	Pool 13 Start
51:45.0	STVMS Tracking Chassis Start	ETO603	Chassis Start
51:56.4	Cab Conveyer	MBF976	Cab Upload 2
51:56.4	Cab Conveyor / Monorail	MBF976	Cab Upload
53:55.4	Cab call scan	XYI250	A Line
54:29.2	Paint Inspection	CNZ205	PAINT
55:26.0	U-BOLT	SGN329	Front U-Bolt
55:56.7	Paint Inspection	MQH836	PAINT
58:19.3	Hood Conveyor	TPD286	Hood Upload
59:28.3	Cab Conveyer	JLD084	Cab Upload 2
59:28.3	Cab Conveyor / Monorail	JLD084	Cab Upload
59:31.1	OMT Offline Tracking	WMR075	Enter Offline
00:50.4	Assembly Line Tracker	ALP937	Pool 13 Start
00:50.8	Assembly Line Tracker	RCF947	Pool 13 Start
01:36.8	OMT Offline Tracking	YKL520	Enter Offline
02:34.3	Cab Call Scan	BHK490	B Line
03:53.1	Hood Conveyor	JYI091	Hood Upload
05:26.0	U-BOLT	TCS146	Front U-Bolt
07:38.9	Cab Conveyer	EGK921	Cab Upload 2
07:38.9	Cab Conveyor / Monorail	EGK921	Cab Upload
09:07.7	Paint Inspection	HRY673	PAINT
09:48.0	U-BOLT	OQA530	Front U-Bolt
10:02.8	Cab call scan	UYZ958	A Line
10:29.8	Hood Conveyor	TQL981	Hood Upload
13:57.8	Cab Conveyer	JDY852	Cab Upload 2
13:57.8	Cab Conveyor / Monorail	JDY852	Cab Upload
14:05.4	Paint Inspection	MRI015	PAINT
14:05.9	OMT Offline Tracking	KHN863	Enter Offline
14:52.6	OMT Offline Tracking	QFB620	Enter Offline
15:50.4	Assembly Line Tracker	CSD174	Pool 13 Start
16:34.0	U-BOLT	DFZ024	Front U-Bolt
17:36.5	Cab Call Scan	TNY179	B Line
17:56.5	Hood Conveyor	KQN543	Hood Upload
19:12.2	Cab Conveyer	XYI250	Cab Upload 2
19:12.2	Cab Conveyor / Monorail	XYI250	Cab Upload
21:03.0	Hood Conveyor	XGW598	Hood Upload
23:43.4	Cab call scan	PYH561	A Line
25:50.9	Assembly Line Tracker	JYI091	Pool 13 Start
25:51.1	Paint Inspection	YGL283	PAINT
25:51.4	Assembly Line Tracker	TPD286	Pool 13 Start
25:52.0	U-BOLT	EQK798	Front U-Bolt
26:46.7	Cab Call Scan	EPB160	B Line
27:36.5	OMT Offline Tracking	QMF308	Enter Offline
28:03.3	Paint Inspection	AKC912	PAINT
30:43.0	STVMS Tracking Chassis Start	RCF947	Chassis Start
30:46.0	STVMS Tracking Chassis Start	ALP937	Chassis Start
30:49.0	STVMS Tracking Chassis Start	CSD174	Chassis Start
30:52.2	Assembly Line Tracker	TQL981	Pool 13 Start
30:53.0	STVMS Tracking Chassis Start	TPD286	Chassis Start
30:58.0	STVMS Tracking Chassis Start	JYI091	Chassis Start
31:09.8	Hood Conveyor	YDL247	Hood Upload
31:21.0	U-BOLT	TGS974	Front U-Bolt
32:31.0	Hood Conveyor	CNZ205	Hood Upload
33:41.2	Cab Conveyer	BHK490	Cab Upload 2
33:41.2	Cab Conveyor / Monorail	BHK490	Cab Upload
36:42.4	Cab Conveyer	UYZ958	Cab Upload 2
36:42.4	Cab Conveyor / Monorail	UYZ958	Cab Upload
37:21.5	Cab call scan	LWK693	A Line
38:45.0	U-BOLT	GDU671	Front U-Bolt
40:02.2	OMT Offline Tracking	PSZ241	Enter Offline
40:02.2	OMT Offline Tracking	PSZ241	Sold
40:33.1	Hood Conveyor	MQH836	Hood Upload
42:21.3	Cab Conveyer	TNY179	Cab Upload 2
42:21.3	Cab Conveyor / Monorail	TNY179	Cab Upload
42:35.3	Hood Conveyor	MRI015	Hood Upload
42:57.7	OMT Offline Tracking	BEC741	Enter Offline
43:30.9	Cab Call Scan	QVS392	B Line
45:51.1	Assembly Line Tracker	XGW598	Pool 13 Start
45:51.7	Assembly Line Tracker	KQN543	Pool 13 Start
45:57.3	Paint Inspection	IQS845	PAINT
46:37.9	Hood Conveyor	HRY673	Hood Upload
47:37.0	U-BOLT	ELI075	Front U-Bolt
49:26.8	Cab Conveyer	PYH561	Cab Upload 2
49:26.8	Cab Conveyor / Monorail	PYH561	Cab Upload
49:29.0	STVMS Tracking Chassis Start	TQL981	Chassis Start
49:33.0	STVMS Tracking Chassis Start	KQN543	Chassis Start
49:35.0	STVMS Tracking Chassis Start	XGW598	Chassis Start
50:49.7	Hood Conveyor	AKC912	Hood Upload
51:12.9	Cab call scan	HZD382	A Line
52:50.0	U-BOLT	PEK163	Front U-Bolt
53:39.6	Cab Call Scan	WDM529	B Line
57:21.7	OMT Offline Tracking	TJV623	Enter Offline
58:16.2	Cab Conveyer	EPB160	Cab Upload 2
58:16.2	Cab Conveyor / Monorail	EPB160	Cab Upload
58:48.4	Paint Inspection	DTP539	PAINT
01:51.0	U-BOLT	SYB619	Front U-Bolt
04:48.0	Paint Inspection	IBA235	PAINT
05:50.8	Assembly Line Tracker	CNZ205	Pool 13 Start
05:51.4	Assembly Line Tracker	YDL247	Pool 13 Start
06:13.6	Cab call scan	XSF309	A Line
08:18.0	U-BOLT	CXD285	Front U-Bolt
08:27.9	Cab Conveyer	LWK693	Cab Upload 2
08:27.9	Cab Conveyor / Monorail	LWK693	Cab Upload
09:27.9	Paint Inspection	ZYA587	PAINT
10:50.7	Assembly Line Tracker	MQH836	Pool 13 Start
12:05.7	OMT Offline Tracking	DWK315	Enter Offline
13:30.0	STVMS Tracking Chassis Start	YDL247	Chassis Start
13:34.0	STVMS Tracking Chassis Start	CNZ205	Chassis Start
13:37.0	STVMS Tracking Chassis Start	MQH836	Chassis Start
14:04.5	Hood Conveyor	DTP539	Hood Upload
14:41.3	Paint Inspection	MBP046	PAINT
15:11.0	OMT Offline Tracking	NGC871	Enter Offline
15:29.7	Cab Call Scan	GMS924	B Line
15:52.0	U-BOLT	BEM390	Front U-Bolt
15:53.9	Assembly Line Tracker	MRI015	Pool 13 Start
16:06.8	Hood Conveyor	IQS845	Hood Upload
17:22.9	Cab Conveyer	QVS392	Cab Upload 2
17:22.9	Cab Conveyor / Monorail	QVS392	Cab Upload
20:32.4	Hood Conveyor	ZYA587	Hood Upload
20:33.0	STVMS Tracking Chassis Start	MRI015	Chassis Start
20:48.4	Paint Inspection	BRL042	PAINT
21:57.6	Cab call scan	ITO673	A Line
24:55.1	Hood Conveyor	IBA235	Hood Upload
25:45.6	Cab Conveyer	WDM529	Cab Upload 2
25:45.6	Cab Conveyor / Monorail	WDM529	Cab Upload
28:27.6	Paint Inspection	FHL057	PAINT
29:10.8	OMT Offline Tracking	LNY482	Enter Offline
31:13.0	U-BOLT	ETO603	Front U-Bolt
34:02.0	Cab Call Scan	QME682	B Line
34:55.0	Cab Conveyer	HZD382	Cab Upload 2
34:55.0	Cab Conveyor / Monorail	HZD382	Cab Upload
35:52.1	Hood Conveyor	MBP046	Hood Upload
35:52.1	Assembly Line Tracker	AKC912	Pool 13 Start
35:52.8	Assembly Line Tracker	HRY673	Pool 13 Start
36:02.3	Paint Inspection	LMN504	PAINT
36:47.3	Cab in white conveyer	PMG926	CIW upload
37:13.7	Cab call scan	YPV702	A Line
39:17.0	U-BOLT	RCF947	Front U-Bolt
40:52.6	Cab Conveyer	XSF309	Cab Upload 2
40:52.6	Cab Conveyor / Monorail	XSF309	Cab Upload
41:45.2	Cab in white conveyer	GOB710	CIW upload
41:56.5	Paint Inspection	TPG078	PAINT
43:24.8	Hood Conveyor	FHL057	Hood Upload
43:27.7	OMT Offline Tracking	UJB305	Enter Offline
43:42.4	OMT Offline Tracking	KWT597	Enter Offline
44:31.0	U-BOLT	ALP937	Front U-Bolt
47:07.2	Cab Call Scan	FTO836	B Line
47:34.8	Hood Conveyor	BRL042	Hood Upload
47:45.6	Paint Inspection	XPR275	PAINT
47:47.8	Cab in white conveyer	QDR380	CIW upload
49:08.4	Cab Conveyer	GMS924	Cab Upload 2
49:08.4	Cab Conveyor / Monorail	GMS924	Cab Upload
49:16.5	OMT Offline Tracking	TFU306	Enter Offline
50:51.5	Assembly Line Tracker	DTP539	Pool 13 Start
51:29.4	OMT Offline Tracking	CQO892	Enter Offline
51:56.4	Cab call scan	SGN329	A Line
53:30.5	OMT Offline Tracking	TGJ401	Enter Offline
53:55.3	Cab in white conveyer	CSW718	CIW upload
54:10.6	Paint Inspection	GYI954	PAINT
54:18.0	U-BOLT	CSD174	Front U-Bolt
55:00.8	OMT Offline Tracking	ULN810	Enter Offline
55:04.0	STVMS Tracking Chassis Start	HRY673	Chassis Start
55:07.0	STVMS Tracking Chassis Start	AKC912	Chassis Start
55:10.0	STVMS Tracking Chassis Start	DTP539	Chassis Start
55:17.0	STVMS Tracking Chassis Start	IQS845	Chassis Start
55:21.0	STVMS Tracking Chassis Start	ZYA587	Chassis Start
55:23.8	Cab Conveyer	ITO673	Cab Upload 2
55:23.8	Cab Conveyor / Monorail	ITO673	Cab Upload
58:19.7	Hood Conveyor	LMN504	Hood Upload
59:21.7	Cab Call Scan	SLP187	B Line
59:22.2	Cab Conveyor / Monorail	QME682	Cab Upload
59:22.2	Cab Conveyer	QME682	Cab Upload 2
59:26.0	U-BOLT	TPD286	Front U-Bolt
00:02.8	Hood Conveyor	TPG078	Hood Upload
00:05.7	Paint Inspection	EUL768	PAINT
00:12.3	Cab in white conveyer	ZPW452	CIW upload
01:57.0	OMT Offline Tracking	OIF375	Enter Offline
01:57.0	OMT Offline Tracking	OIF375	Sold
06:39.9	Cab Conveyer	FTO836	Cab Upload 2
06:39.9	Cab Conveyor / Monorail	FTO836	Cab Upload
07:10.9	Cab call scan	OQA530	A Line
07:30.6	Cab in white conveyer	MHU637	CIW upload
08:10.4	Paint Inspection	YTP390	PAINT
08:37.1	Hood Conveyor	XPR275	Hood Upload
08:56.6	OMT Offline Tracking	FNG604	Enter Offline
10:53.0	STVMS Tracking Chassis Start	IBA235	Chassis Start
10:56.0	STVMS Tracking Chassis Start	MBP046	Chassis Start
10:57.8	Hood Conveyor	EUL768	Hood Upload
11:35.0	U-BOLT	JYI091	Front U-Bolt
11:44.4	Cab Conveyer	YPV702	Cab Upload 2
11:44.4	Cab Conveyor / Monorail	YPV702	Cab Upload
12:00.4	Cab in white conveyer	USH564	CIW upload
14:40.6	Paint Inspection	SOU593	PAINT
15:01.0	U-BOLT	TQL981	Front U-Bolt
16:02.4	Hood Conveyor	GYI954	Hood Upload
17:39.9	Cab in white conveyer	LZA034	CIW upload
20:23.2	Paint Inspection	EJO928	PAINT
21:23.6	Cab in white conveyer	OXE951	CIW upload
21:49.4	OMT Offline Tracking	NVM832	Enter Offline
21:50.0	U-BOLT	KQN543	Front U-Bolt
22:15.7	Hood Conveyor	YTP390	Hood Upload
22:58.7	Cab call scan	EQK798	A Line
23:35.8	Cab Conveyer	SLP187	Cab Upload 2
23:35.8	Cab Conveyor / Monorail	SLP187	Cab Upload
24:51.0	STVMS Tracking Chassis Start	FHL057	Chassis Start
24:54.0	STVMS Tracking Chassis Start	BRL042	Chassis Start
25:53.0	Assembly Line Tracker	BRL042	Pool 13 Start
25:53.9	Assembly Line Tracker	FHL057	Pool 13 Start
25:54.8	Assembly Line Tracker	MBP046	Pool 13 Start
25:55.6	Assembly Line Tracker	IBA235	Pool 13 Start
25:56.5	Assembly Line Tracker	ZYA587	Pool 13 Start
25:57.3	Assembly Line Tracker	IQS845	Pool 13 Start
26:27.0	Cab in white conveyer	DZO637	CIW upload
28:42.0	U-BOLT	XGW598	Front U-Bolt
29:04.5	Paint Inspection	IXM739	PAINT
30:01.8	OMT Offline Tracking	YKZ247	Enter Offline
30:50.9	Assembly Line Tracker	LMN504	Pool 13 Start
31:21.1	Cab Call Scan	DFZ024	B Line
31:41.2	Cab Conveyer	SGN329	Cab Upload 2
31:41.2	Cab Conveyor / Monorail	SGN329	Cab Upload
32:32.0	STVMS Tracking Chassis Start	LMN504	Chassis Start
33:55.2	Cab in white conveyer	CJQ075	CIW upload
33:59.3	Hood Conveyor	WXK853	Hood Upload
34:45.4	Paint Inspection	HMJ710	PAINT
35:47.0	U-BOLT	YDL247	Front U-Bolt
37:51.9	Cab Conveyer	OQA530	Cab Upload 2
37:51.9	Cab Conveyor / Monorail	OQA530	Cab Upload
38:15.9	Cab call scan	GDU671	A Line
38:35.4	OMT Offline Tracking	MBF976	Enter Offline
39:27.1	Cab Call Scan	TGS974	B Line
41:32.1	Cab in white conveyer	LOF143	CIW upload
41:42.8	Paint Inspection	MVW427	PAINT
44:06.0	STVMS Tracking Chassis Start	TPG078	Chassis Start
45:00.5	Hood Conveyor	SOU593	Hood Upload
45:42.0	U-BOLT	CNZ205	Front U-Bolt
45:51.1	Assembly Line Tracker	EUL768	Pool 13 Start
45:51.9	Assembly Line Tracker	XPR275	Pool 13 Start
45:52.7	OMT Offline Tracking	EGK921	Enter Offline
45:53.2	Assembly Line Tracker	TPG078	Pool 13 Start
46:13.5	Cab in white conveyer	CJQ075	CIW upload
46:25.5	Cab in white conveyer	LOF143	CIW upload
49:39.9	Cab call scan	PEK163	A Line
52:49.0	U-BOLT	MQH836	Front U-Bolt
53:31.3	OMT Offline Tracking	XYI250	Enter Offline
55:50.9	Assembly Line Tracker	YTP390	Pool 13 Start
55:51.6	Assembly Line Tracker	GYI954	Pool 13 Start
57:13.0	STVMS Tracking Chassis Start	XPR275	Chassis Start
58:06.1	Cab Call Scan	ELI075	B Line
01:21.0	U-BOLT	MRI015	Front U-Bolt
16:16.2	Cab Conveyer	EQK798	Cab Upload 2
16:16.2	Cab Conveyor / Monorail	EQK798	Cab Upload
16:44.2	Cab in white conveyer	RQJ940	CIW upload
21:39.4	Paint Inspection	AMZ845	PAINT
22:56.6	Hood Conveyor	IXM739	Hood Upload
23:12.4	Cab in white conveyer	JCM567	CIW upload
27:05.7	Cab Conveyer	DFZ024	Cab Upload 2
27:05.7	Cab Conveyor / Monorail	DFZ024	Cab Upload
28:20.8	Cab Conveyer	GDU671	Cab Upload 2
28:20.8	Cab Conveyor / Monorail	GDU671	Cab Upload
29:28.0	Cab in white conveyer	GFM783	CIW upload
30:09.0	Hood Conveyor	EJO928	Hood Upload
30:50.0	Paint Inspection	HQD748	PAINT
34:14.6	Cab Conveyer	TGS974	Cab Upload 2
34:14.6	Cab Conveyor / Monorail	TGS974	Cab Upload
34:42.2	Cab in white conveyer	EUZ386	CIW upload
35:42.2	OMT Offline Tracking	JDY852	Enter Offline
36:06.0	Hood Conveyor	HMJ710	Hood Upload
37:41.9	Cab call scan	CXD285	A Line
38:41.2	Paint Inspection	VQD376	PAINT
40:14.9	Cab in white conveyer	TMZ629	CIW upload
40:19.0	U-BOLT	HRY673	Front U-Bolt
42:23.2	OMT Offline Tracking	UYZ958	Enter Offline
43:48.3	Paint Inspection	ZHB578	PAINT
44:32.0	STVMS Tracking Chassis Start	EUL768	Chassis Start
44:36.0	STVMS Tracking Chassis Start	GYI954	Chassis Start
44:40.0	STVMS Tracking Chassis Start	YTP390	Chassis Start
46:00.0	U-BOLT	AKC912	Front U-Bolt
46:28.8	Cab Call Scan	SYB619	B Line
46:50.3	Hood Conveyor	MVW427	Hood Upload
47:53.0	OMT Offline Tracking	BHK490	Enter Offline
50:00.0	STVMS Tracking Chassis Start	WXK853	Chassis Start
50:25.9	Cab call scan	CVE258	A Line
53:45.7	Paint Inspection	QJP284	PAINT
53:55.0	U-BOLT	DTP539	Front U-Bolt
54:06.5	Cab in white conveyer	SNI285	CIW upload
54:53.9	Cab Conveyer	PEK163	Cab Upload 2
54:53.9	Cab Conveyor / Monorail	PEK163	Cab Upload
57:39.6	OMT Offline Tracking	PYH561	Enter Offline
58:42.2	Hood Conveyor	AMZ845	Hood Upload
59:21.2	Cab Conveyer	ELI075	Cab Upload 2
59:21.2	Cab Conveyor / Monorail	ELI075	Cab Upload
59:39.7	Cab in white conveyer	PMN417	CIW upload
00:47.0	U-BOLT	IQS845	Front U-Bolt
00:47.1	OMT Offline Tracking	TNY179	Enter Offline
04:32.8	Cab Call Scan	BEM390	B Line
04:59.1	Cab in white conveyer	ZDI213	CIW upload
07:28.0	Hood Conveyor	HQD748	Hood Upload
07:52.5	Cab call scan	ETO603	A Line
08:21.0	U-BOLT	ZYA587	Front U-Bolt
08:52.1	Cab Conveyer	CXD285	Cab Upload 2
08:52.1	Cab Conveyor / Monorail	CXD285	Cab Upload
09:43.6	Hood Conveyor	QJP284	Hood Upload
12:10.0	STVMS Tracking Chassis Start	SOU593	Chassis Start
12:13.0	STVMS Tracking Chassis Start	IXM739	Chassis Start
12:15.0	STVMS Tracking Chassis Start	EJO928	Chassis Start
12:54.8	Cab in white conveyer	ALE837	CIW upload
13:56.8	Cab Call Scan	RCF947	B Line
15:22.8	OMT Offline Tracking	LWK693	Enter Offline
15:37.7	Paint Inspection	PGY640	PAINT
15:38.0	U-BOLT	IBA235	Front U-Bolt
15:50.9	Hood Conveyor	ZHB578	Hood Upload
15:51.5	Assembly Line Tracker	SOU593	Pool 13 Start
15:52.3	Assembly Line Tracker	WXK853	Pool 13 Start
18:00.4	Cab Conveyer	CVE258	Cab Upload 2
18:00.4	Cab Conveyor / Monorail	CVE258	Cab Upload
20:55.1	Cab in white conveyer	WQB451	CIW upload
22:51.6	Cab call scan	ALP937	A Line
24:09.2	Cab Conveyer	SYB619	Cab Upload 2
24:09.2	Cab Conveyor / Monorail	SYB619	Cab Upload
24:27.0	U-BOLT	MBP046	Front U-Bolt
26:33.0	STVMS Tracking Chassis Start	HMJ710	Chassis Start
26:36.0	STVMS Tracking Chassis Start	MVW427	Chassis Start
27:45.2	Hood Conveyor	VQD376	Hood Upload
28:36.3	Cab Conveyer	BEM390	Cab Upload 2
28:36.3	Cab Conveyor / Monorail	BEM390	Cab Upload
29:37.2	OMT Offline Tracking	QVS392	Enter Offline
29:37.2	OMT Offline Tracking	QVS392	Sold
29:56.3	Cab in white conveyer	KMA503	CIW upload
30:50.7	Assembly Line Tracker	HMJ710	Pool 13 Start
30:51.4	Assembly Line Tracker	EJO928	Pool 13 Start
30:52.1	Assembly Line Tracker	IXM739	Pool 13 Start
31:23.1	Paint Inspection	FIX581	PAINT
31:52.0	U-BOLT	FHL057	Front U-Bolt
32:19.0	Cab Call Scan	CSD174	B Line
34:31.2	Cab Conveyer	ETO603	Cab Upload 2
34:31.2	Cab Conveyor / Monorail	ETO603	Cab Upload
36:01.7	Cab in white conveyer	KSX968	CIW upload
36:31.0	STVMS Tracking Chassis Start	AMZ845	Chassis Start
37:07.8	Cab call scan	TPD286	A Line
39:40.3	Cab Conveyer	RCF947	Cab Upload 2
39:40.3	Cab Conveyor / Monorail	RCF947	Cab Upload
39:51.0	U-BOLT	BRL042	Front U-Bolt
40:25.6	OMT Offline Tracking	HZD382	Enter Offline
40:51.5	Assembly Line Tracker	MVW427	Pool 13 Start
43:53.0	STVMS Tracking Chassis Start	HQD748	Chassis Start
44:01.6	Cab in white conveyer	TFX540	CIW upload
44:35.2	OMT Offline Tracking	WDM529	Enter Offline
45:06.6	Cab Call Scan	JYI091	B Line
45:51.6	Assembly Line Tracker	AMZ845	Pool 13 Start
46:40.2	Paint Inspection	CSM507	PAINT
46:57.0	U-BOLT	LMN504	Front U-Bolt
48:04.0	STVMS Tracking Top Station	TCS146	Top Station
48:07.0	STVMS Tracking Top Station	OQA530	Top Station
48:12.0	STVMS Tracking Top Station	DFZ024	Top Station
48:15.0	STVMS Tracking Top Station	EQK798	Top Station
48:18.0	STVMS Tracking Top Station	TGS974	Top Station
48:22.0	STVMS Tracking Top Station	GDU671	Top Station
48:26.0	STVMS Tracking Top Station	ELI075	Top Station
48:29.0	STVMS Tracking Top Station	PEK163	Top Station
48:32.0	STVMS Tracking Top Station	SYB619	Top Station
48:36.0	STVMS Tracking Top Station	CXD285	Top Station
48:36.4	OMT Offline Tracking	EPB160	Enter Offline
48:38.6	OMT Offline Tracking	XSF309	Enter Offline
